# We remove any regions for which agriculture and land use are not modeled.
region,supplysector,subsector,technology,year,share.weight
Argentina,regional corn,domestic corn,domestic corn,2010,1
Colombia,regional corn,domestic corn,domestic corn,2010,1
USA,regional corn,domestic corn,domestic corn,2015,1
Africa_Eastern,regional corn,domestic corn,domestic corn,2015,1
Africa_Northern,regional corn,domestic corn,domestic corn,2015,1
Africa_Southern,regional corn,domestic corn,domestic corn,2015,1
Africa_Western,regional corn,domestic corn,domestic corn,2015,1
Australia_NZ,regional corn,domestic corn,domestic corn,2015,1
Brazil,regional corn,domestic corn,domestic corn,2015,1
Canada,regional corn,domestic corn,domestic corn,2015,1
Central America and Caribbean,regional corn,domestic corn,domestic corn,2015,1
Central Asia,regional corn,domestic corn,domestic corn,2015,1
China,regional corn,domestic corn,domestic corn,2015,1
EU-12,regional corn,domestic corn,domestic corn,2015,1
EU-15,regional corn,domestic corn,domestic corn,2015,1
Europe_Eastern,regional corn,domestic corn,domestic corn,2015,1
Europe_Non_EU,regional corn,domestic corn,domestic corn,2015,1
European Free Trade Association,regional corn,domestic corn,domestic corn,2015,1
India,regional corn,domestic corn,domestic corn,2015,1
Indonesia,regional corn,domestic corn,domestic corn,2015,1
Japan,regional corn,domestic corn,domestic corn,2015,1
Mexico,regional corn,domestic corn,domestic corn,2015,1
Middle East,regional corn,domestic corn,domestic corn,2015,1
Pakistan,regional corn,domestic corn,domestic corn,2015,1
Russia,regional corn,domestic corn,domestic corn,2015,1
South Africa,regional corn,domestic corn,domestic corn,2015,1
South America_Northern,regional corn,domestic corn,domestic corn,2015,1
South America_Southern,regional corn,domestic corn,domestic corn,2015,1
South Asia,regional corn,domestic corn,domestic corn,2015,1
South Korea,regional corn,domestic corn,domestic corn,2015,1
Southeast Asia,regional corn,domestic corn,domestic corn,2015,1
Taiwan,regional corn,domestic corn,domestic corn,2015,1
Argentina,regional corn,domestic corn,domestic corn,2015,1
Colombia,regional corn,domestic corn,domestic corn,2015,1
USA,regional corn,domestic corn,domestic corn,2020,1
Africa_Eastern,regional corn,domestic corn,domestic corn,2020,1
Africa_Northern,regional corn,domestic corn,domestic corn,2020,1
Africa_Southern,regional corn,domestic corn,domestic corn,2020,1
Africa_Western,regional corn,domestic corn,domestic corn,2020,1
Australia_NZ,regional corn,domestic corn,domestic corn,2020,1
Brazil,regional corn,domestic corn,domestic corn,2020,1
Canada,regional corn,domestic corn,domestic corn,2020,1
Central America and Caribbean,regional corn,domestic corn,domestic corn,2020,1
Central Asia,regional corn,domestic corn,domestic corn,2020,1
China,regional corn,domestic corn,domestic corn,2020,1
EU-12,regional corn,domestic corn,domestic corn,2020,1
EU-15,regional corn,domestic corn,domestic corn,2020,1
Europe_Eastern,regional corn,domestic corn,domestic corn,2020,1
Europe_Non_EU,regional corn,domestic corn,domestic corn,2020,1
European Free Trade Association,regional corn,domestic corn,domestic corn,2020,1
India,regional corn,domestic corn,domestic corn,2020,1
Indonesia,regional corn,domestic corn,domestic corn,2020,1
Japan,regional corn,domestic corn,domestic corn,2020,1
Mexico,regional corn,domestic corn,domestic corn,2020,1
Middle East,regional corn,domestic corn,domestic corn,2020,1
Pakistan,regional corn,domestic corn,domestic corn,2020,1
Russia,regional corn,domestic corn,domestic corn,2020,1
South Africa,regional corn,domestic corn,domestic corn,2020,1
South America_Northern,regional corn,domestic corn,domestic corn,2020,1
South America_Southern,regional corn,domestic corn,domestic corn,2020,1
South Asia,regional corn,domestic corn,domestic corn,2020,1
South Korea,regional corn,domestic corn,domestic corn,2020,1
Southeast Asia,regional corn,domestic corn,domestic corn,2020,1
Taiwan,regional corn,domestic corn,domestic corn,2020,1
Argentina,regional corn,domestic corn,domestic corn,2020,1
Colombia,regional corn,domestic corn,domestic corn,2020,1
USA,regional corn,domestic corn,domestic corn,2025,1
Africa_Eastern,regional corn,domestic corn,domestic corn,2025,1
Africa_Northern,regional corn,domestic corn,domestic corn,2025,1
Africa_Southern,regional corn,domestic corn,domestic corn,2025,1
Africa_Western,regional corn,domestic corn,domestic corn,2025,1
Australia_NZ,regional corn,domestic corn,domestic corn,2025,1
Brazil,regional corn,domestic corn,domestic corn,2025,1
Canada,regional corn,domestic corn,domestic corn,2025,1
Central America and Caribbean,regional corn,domestic corn,domestic corn,2025,1
Central Asia,regional corn,domestic corn,domestic corn,2025,1
China,regional corn,domestic corn,domestic corn,2025,1
EU-12,regional corn,domestic corn,domestic corn,2025,1
EU-15,regional corn,domestic corn,domestic corn,2025,1
Europe_Eastern,regional corn,domestic corn,domestic corn,2025,1
Europe_Non_EU,regional corn,domestic corn,domestic corn,2025,1
European Free Trade Association,regional corn,domestic corn,domestic corn,2025,1
India,regional corn,domestic corn,domestic corn,2025,1
Indonesia,regional corn,domestic corn,domestic corn,2025,1
Japan,regional corn,domestic corn,domestic corn,2025,1
Mexico,regional corn,domestic corn,domestic corn,2025,1
Middle East,regional corn,domestic corn,domestic corn,2025,1
Pakistan,regional corn,domestic corn,domestic corn,2025,1
Russia,regional corn,domestic corn,domestic corn,2025,1
South Africa,regional corn,domestic corn,domestic corn,2025,1
South America_Northern,regional corn,domestic corn,domestic corn,2025,1
South America_Southern,regional corn,domestic corn,domestic corn,2025,1
South Asia,regional corn,domestic corn,domestic corn,2025,1
South Korea,regional corn,domestic corn,domestic corn,2025,1
Southeast Asia,regional corn,domestic corn,domestic corn,2025,1
Taiwan,regional corn,domestic corn,domestic corn,2025,1
Argentina,regional corn,domestic corn,domestic corn,2025,1
Colombia,regional corn,domestic corn,domestic corn,2025,1
USA,regional corn,domestic corn,domestic corn,2030,1
Africa_Eastern,regional corn,domestic corn,domestic corn,2030,1
Africa_Northern,regional corn,domestic corn,domestic corn,2030,1
Africa_Southern,regional corn,domestic corn,domestic corn,2030,1
Africa_Western,regional corn,domestic corn,domestic corn,2030,1
Australia_NZ,regional corn,domestic corn,domestic corn,2030,1
Brazil,regional corn,domestic corn,domestic corn,2030,1
Canada,regional corn,domestic corn,domestic corn,2030,1
Central America and Caribbean,regional corn,domestic corn,domestic corn,2030,1
Central Asia,regional corn,domestic corn,domestic corn,2030,1
China,regional corn,domestic corn,domestic corn,2030,1
EU-12,regional corn,domestic corn,domestic corn,2030,1
EU-15,regional corn,domestic corn,domestic corn,2030,1
Europe_Eastern,regional corn,domestic corn,domestic corn,2030,1
Europe_Non_EU,regional corn,domestic corn,domestic corn,2030,1
European Free Trade Association,regional corn,domestic corn,domestic corn,2030,1
India,regional corn,domestic corn,domestic corn,2030,1
Indonesia,regional corn,domestic corn,domestic corn,2030,1
Japan,regional corn,domestic corn,domestic corn,2030,1
Mexico,regional corn,domestic corn,domestic corn,2030,1
Middle East,regional corn,domestic corn,domestic corn,2030,1
Pakistan,regional corn,domestic corn,domestic corn,2030,1
Russia,regional corn,domestic corn,domestic corn,2030,1
South Africa,regional corn,domestic corn,domestic corn,2030,1
South America_Northern,regional corn,domestic corn,domestic corn,2030,1
South America_Southern,regional corn,domestic corn,domestic corn,2030,1
South Asia,regional corn,domestic corn,domestic corn,2030,1
South Korea,regional corn,domestic corn,domestic corn,2030,1
Southeast Asia,regional corn,domestic corn,domestic corn,2030,1
Taiwan,regional corn,domestic corn,domestic corn,2030,1
Argentina,regional corn,domestic corn,domestic corn,2030,1
Colombia,regional corn,domestic corn,domestic corn,2030,1
USA,regional corn,domestic corn,domestic corn,2035,1
Africa_Eastern,regional corn,domestic corn,domestic corn,2035,1
Africa_Northern,regional corn,domestic corn,domestic corn,2035,1
Africa_Southern,regional corn,domestic corn,domestic corn,2035,1
Africa_Western,regional corn,domestic corn,domestic corn,2035,1
Australia_NZ,regional corn,domestic corn,domestic corn,2035,1
Brazil,regional corn,domestic corn,domestic corn,2035,1
Canada,regional corn,domestic corn,domestic corn,2035,1
Central America and Caribbean,regional corn,domestic corn,domestic corn,2035,1
Central Asia,regional corn,domestic corn,domestic corn,2035,1
China,regional corn,domestic corn,domestic corn,2035,1
EU-12,regional corn,domestic corn,domestic corn,2035,1
EU-15,regional corn,domestic corn,domestic corn,2035,1
Europe_Eastern,regional corn,domestic corn,domestic corn,2035,1
Europe_Non_EU,regional corn,domestic corn,domestic corn,2035,1
European Free Trade Association,regional corn,domestic corn,domestic corn,2035,1
India,regional corn,domestic corn,domestic corn,2035,1
Indonesia,regional corn,domestic corn,domestic corn,2035,1
Japan,regional corn,domestic corn,domestic corn,2035,1
Mexico,regional corn,domestic corn,domestic corn,2035,1
Middle East,regional corn,domestic corn,domestic corn,2035,1
Pakistan,regional corn,domestic corn,domestic corn,2035,1
Russia,regional corn,domestic corn,domestic corn,2035,1
South Africa,regional corn,domestic corn,domestic corn,2035,1
South America_Northern,regional corn,domestic corn,domestic corn,2035,1
South America_Southern,regional corn,domestic corn,domestic corn,2035,1
South Asia,regional corn,domestic corn,domestic corn,2035,1
South Korea,regional corn,domestic corn,domestic corn,2035,1
Southeast Asia,regional corn,domestic corn,domestic corn,2035,1
Taiwan,regional corn,domestic corn,domestic corn,2035,1
Argentina,regional corn,domestic corn,domestic corn,2035,1
Colombia,regional corn,domestic corn,domestic corn,2035,1
USA,regional corn,domestic corn,domestic corn,2040,1
Africa_Eastern,regional corn,domestic corn,domestic corn,2040,1
Africa_Northern,regional corn,domestic corn,domestic corn,2040,1
Africa_Southern,regional corn,domestic corn,domestic corn,2040,1
Africa_Western,regional corn,domestic corn,domestic corn,2040,1
Australia_NZ,regional corn,domestic corn,domestic corn,2040,1
Brazil,regional corn,domestic corn,domestic corn,2040,1
Canada,regional corn,domestic corn,domestic corn,2040,1
Central America and Caribbean,regional corn,domestic corn,domestic corn,2040,1
Central Asia,regional corn,domestic corn,domestic corn,2040,1
China,regional corn,domestic corn,domestic corn,2040,1
EU-12,regional corn,domestic corn,domestic corn,2040,1
EU-15,regional corn,domestic corn,domestic corn,2040,1
Europe_Eastern,regional corn,domestic corn,domestic corn,2040,1
Europe_Non_EU,regional corn,domestic corn,domestic corn,2040,1
European Free Trade Association,regional corn,domestic corn,domestic corn,2040,1
India,regional corn,domestic corn,domestic corn,2040,1
Indonesia,regional corn,domestic corn,domestic corn,2040,1
Japan,regional corn,domestic corn,domestic corn,2040,1
Mexico,regional corn,domestic corn,domestic corn,2040,1
Middle East,regional corn,domestic corn,domestic corn,2040,1
Pakistan,regional corn,domestic corn,domestic corn,2040,1
Russia,regional corn,domestic corn,domestic corn,2040,1
South Africa,regional corn,domestic corn,domestic corn,2040,1
South America_Northern,regional corn,domestic corn,domestic corn,2040,1
South America_Southern,regional corn,domestic corn,domestic corn,2040,1
South Asia,regional corn,domestic corn,domestic corn,2040,1
South Korea,regional corn,domestic corn,domestic corn,2040,1
Southeast Asia,regional corn,domestic corn,domestic corn,2040,1
Taiwan,regional corn,domestic corn,domestic corn,2040,1
Argentina,regional corn,domestic corn,domestic corn,2040,1
Colombia,regional corn,domestic corn,domestic corn,2040,1
USA,regional corn,domestic corn,domestic corn,2045,1
Africa_Eastern,regional corn,domestic corn,domestic corn,2045,1
Africa_Northern,regional corn,domestic corn,domestic corn,2045,1
Africa_Southern,regional corn,domestic corn,domestic corn,2045,1
Africa_Western,regional corn,domestic corn,domestic corn,2045,1
Australia_NZ,regional corn,domestic corn,domestic corn,2045,1
Brazil,regional corn,domestic corn,domestic corn,2045,1
Canada,regional corn,domestic corn,domestic corn,2045,1
Central America and Caribbean,regional corn,domestic corn,domestic corn,2045,1
Central Asia,regional corn,domestic corn,domestic corn,2045,1
China,regional corn,domestic corn,domestic corn,2045,1
EU-12,regional corn,domestic corn,domestic corn,2045,1
EU-15,regional corn,domestic corn,domestic corn,2045,1
Europe_Eastern,regional corn,domestic corn,domestic corn,2045,1
Europe_Non_EU,regional corn,domestic corn,domestic corn,2045,1
European Free Trade Association,regional corn,domestic corn,domestic corn,2045,1
India,regional corn,domestic corn,domestic corn,2045,1
Indonesia,regional corn,domestic corn,domestic corn,2045,1
Japan,regional corn,domestic corn,domestic corn,2045,1
Mexico,regional corn,domestic corn,domestic corn,2045,1
Middle East,regional corn,domestic corn,domestic corn,2045,1
Pakistan,regional corn,domestic corn,domestic corn,2045,1
Russia,regional corn,domestic corn,domestic corn,2045,1
South Africa,regional corn,domestic corn,domestic corn,2045,1
South America_Northern,regional corn,domestic corn,domestic corn,2045,1
South America_Southern,regional corn,domestic corn,domestic corn,2045,1
South Asia,regional corn,domestic corn,domestic corn,2045,1
South Korea,regional corn,domestic corn,domestic corn,2045,1
Southeast Asia,regional corn,domestic corn,domestic corn,2045,1
Taiwan,regional corn,domestic corn,domestic corn,2045,1
Argentina,regional corn,domestic corn,domestic corn,2045,1
Colombia,regional corn,domestic corn,domestic corn,2045,1
USA,regional corn,domestic corn,domestic corn,2050,1
Africa_Eastern,regional corn,domestic corn,domestic corn,2050,1
Africa_Northern,regional corn,domestic corn,domestic corn,2050,1
Africa_Southern,regional corn,domestic corn,domestic corn,2050,1
Africa_Western,regional corn,domestic corn,domestic corn,2050,1
Australia_NZ,regional corn,domestic corn,domestic corn,2050,1
Brazil,regional corn,domestic corn,domestic corn,2050,1
Canada,regional corn,domestic corn,domestic corn,2050,1
Central America and Caribbean,regional corn,domestic corn,domestic corn,2050,1
Central Asia,regional corn,domestic corn,domestic corn,2050,1
China,regional corn,domestic corn,domestic corn,2050,1
EU-12,regional corn,domestic corn,domestic corn,2050,1
EU-15,regional corn,domestic corn,domestic corn,2050,1
Europe_Eastern,regional corn,domestic corn,domestic corn,2050,1
Europe_Non_EU,regional corn,domestic corn,domestic corn,2050,1
European Free Trade Association,regional corn,domestic corn,domestic corn,2050,1
India,regional corn,domestic corn,domestic corn,2050,1
Indonesia,regional corn,domestic corn,domestic corn,2050,1
Japan,regional corn,domestic corn,domestic corn,2050,1
Mexico,regional corn,domestic corn,domestic corn,2050,1
Middle East,regional corn,domestic corn,domestic corn,2050,1
Pakistan,regional corn,domestic corn,domestic corn,2050,1
Russia,regional corn,domestic corn,domestic corn,2050,1
South Africa,regional corn,domestic corn,domestic corn,2050,1
South America_Northern,regional corn,domestic corn,domestic corn,2050,1
South America_Southern,regional corn,domestic corn,domestic corn,2050,1
South Asia,regional corn,domestic corn,domestic corn,2050,1
South Korea,regional corn,domestic corn,domestic corn,2050,1
Southeast Asia,regional corn,domestic corn,domestic corn,2050,1
Taiwan,regional corn,domestic corn,domestic corn,2050,1
Argentina,regional corn,domestic corn,domestic corn,2050,1
Colombia,regional corn,domestic corn,domestic corn,2050,1
USA,regional corn,domestic corn,domestic corn,2055,1
Africa_Eastern,regional corn,domestic corn,domestic corn,2055,1
Africa_Northern,regional corn,domestic corn,domestic corn,2055,1
Africa_Southern,regional corn,domestic corn,domestic corn,2055,1
Africa_Western,regional corn,domestic corn,domestic corn,2055,1
Australia_NZ,regional corn,domestic corn,domestic corn,2055,1
Brazil,regional corn,domestic corn,domestic corn,2055,1
Canada,regional corn,domestic corn,domestic corn,2055,1
Central America and Caribbean,regional corn,domestic corn,domestic corn,2055,1
Central Asia,regional corn,domestic corn,domestic corn,2055,1
China,regional corn,domestic corn,domestic corn,2055,1
EU-12,regional corn,domestic corn,domestic corn,2055,1
EU-15,regional corn,domestic corn,domestic corn,2055,1
Europe_Eastern,regional corn,domestic corn,domestic corn,2055,1
Europe_Non_EU,regional corn,domestic corn,domestic corn,2055,1
European Free Trade Association,regional corn,domestic corn,domestic corn,2055,1
India,regional corn,domestic corn,domestic corn,2055,1
Indonesia,regional corn,domestic corn,domestic corn,2055,1
Japan,regional corn,domestic corn,domestic corn,2055,1
Mexico,regional corn,domestic corn,domestic corn,2055,1
Middle East,regional corn,domestic corn,domestic corn,2055,1
Pakistan,regional corn,domestic corn,domestic corn,2055,1
Russia,regional corn,domestic corn,domestic corn,2055,1
South Africa,regional corn,domestic corn,domestic corn,2055,1
South America_Northern,regional corn,domestic corn,domestic corn,2055,1
South America_Southern,regional corn,domestic corn,domestic corn,2055,1
South Asia,regional corn,domestic corn,domestic corn,2055,1
South Korea,regional corn,domestic corn,domestic corn,2055,1
Southeast Asia,regional corn,domestic corn,domestic corn,2055,1
Taiwan,regional corn,domestic corn,domestic corn,2055,1
Argentina,regional corn,domestic corn,domestic corn,2055,1
Colombia,regional corn,domestic corn,domestic corn,2055,1
USA,regional corn,domestic corn,domestic corn,2060,1
Africa_Eastern,regional corn,domestic corn,domestic corn,2060,1
Africa_Northern,regional corn,domestic corn,domestic corn,2060,1
Africa_Southern,regional corn,domestic corn,domestic corn,2060,1
Africa_Western,regional corn,domestic corn,domestic corn,2060,1
Australia_NZ,regional corn,domestic corn,domestic corn,2060,1
Brazil,regional corn,domestic corn,domestic corn,2060,1
Canada,regional corn,domestic corn,domestic corn,2060,1
Central America and Caribbean,regional corn,domestic corn,domestic corn,2060,1
Central Asia,regional corn,domestic corn,domestic corn,2060,1
China,regional corn,domestic corn,domestic corn,2060,1
EU-12,regional corn,domestic corn,domestic corn,2060,1
EU-15,regional corn,domestic corn,domestic corn,2060,1
Europe_Eastern,regional corn,domestic corn,domestic corn,2060,1
Europe_Non_EU,regional corn,domestic corn,domestic corn,2060,1
European Free Trade Association,regional corn,domestic corn,domestic corn,2060,1
India,regional corn,domestic corn,domestic corn,2060,1
Indonesia,regional corn,domestic corn,domestic corn,2060,1
Japan,regional corn,domestic corn,domestic corn,2060,1
Mexico,regional corn,domestic corn,domestic corn,2060,1
Middle East,regional corn,domestic corn,domestic corn,2060,1
Pakistan,regional corn,domestic corn,domestic corn,2060,1
Russia,regional corn,domestic corn,domestic corn,2060,1
South Africa,regional corn,domestic corn,domestic corn,2060,1
South America_Northern,regional corn,domestic corn,domestic corn,2060,1
South America_Southern,regional corn,domestic corn,domestic corn,2060,1
South Asia,regional corn,domestic corn,domestic corn,2060,1
South Korea,regional corn,domestic corn,domestic corn,2060,1
Southeast Asia,regional corn,domestic corn,domestic corn,2060,1
Taiwan,regional corn,domestic corn,domestic corn,2060,1
Argentina,regional corn,domestic corn,domestic corn,2060,1
Colombia,regional corn,domestic corn,domestic corn,2060,1
USA,regional corn,domestic corn,domestic corn,2065,1
Africa_Eastern,regional corn,domestic corn,domestic corn,2065,1
Africa_Northern,regional corn,domestic corn,domestic corn,2065,1
Africa_Southern,regional corn,domestic corn,domestic corn,2065,1
Africa_Western,regional corn,domestic corn,domestic corn,2065,1
Australia_NZ,regional corn,domestic corn,domestic corn,2065,1
Brazil,regional corn,domestic corn,domestic corn,2065,1
Canada,regional corn,domestic corn,domestic corn,2065,1
Central America and Caribbean,regional corn,domestic corn,domestic corn,2065,1
Central Asia,regional corn,domestic corn,domestic corn,2065,1
China,regional corn,domestic corn,domestic corn,2065,1
EU-12,regional corn,domestic corn,domestic corn,2065,1
EU-15,regional corn,domestic corn,domestic corn,2065,1
Europe_Eastern,regional corn,domestic corn,domestic corn,2065,1
Europe_Non_EU,regional corn,domestic corn,domestic corn,2065,1
European Free Trade Association,regional corn,domestic corn,domestic corn,2065,1
India,regional corn,domestic corn,domestic corn,2065,1
Indonesia,regional corn,domestic corn,domestic corn,2065,1
Japan,regional corn,domestic corn,domestic corn,2065,1
Mexico,regional corn,domestic corn,domestic corn,2065,1
Middle East,regional corn,domestic corn,domestic corn,2065,1
Pakistan,regional corn,domestic corn,domestic corn,2065,1
Russia,regional corn,domestic corn,domestic corn,2065,1
South Africa,regional corn,domestic corn,domestic corn,2065,1
South America_Northern,regional corn,domestic corn,domestic corn,2065,1
South America_Southern,regional corn,domestic corn,domestic corn,2065,1
South Asia,regional corn,domestic corn,domestic corn,2065,1
South Korea,regional corn,domestic corn,domestic corn,2065,1
Southeast Asia,regional corn,domestic corn,domestic corn,2065,1
Taiwan,regional corn,domestic corn,domestic corn,2065,1
Argentina,regional corn,domestic corn,domestic corn,2065,1
Colombia,regional corn,domestic corn,domestic corn,2065,1
USA,regional corn,domestic corn,domestic corn,2070,1
Africa_Eastern,regional corn,domestic corn,domestic corn,2070,1
Africa_Northern,regional corn,domestic corn,domestic corn,2070,1
Africa_Southern,regional corn,domestic corn,domestic corn,2070,1
Africa_Western,regional corn,domestic corn,domestic corn,2070,1
Australia_NZ,regional corn,domestic corn,domestic corn,2070,1
Brazil,regional corn,domestic corn,domestic corn,2070,1
Canada,regional corn,domestic corn,domestic corn,2070,1
Central America and Caribbean,regional corn,domestic corn,domestic corn,2070,1
Central Asia,regional corn,domestic corn,domestic corn,2070,1
China,regional corn,domestic corn,domestic corn,2070,1
EU-12,regional corn,domestic corn,domestic corn,2070,1
EU-15,regional corn,domestic corn,domestic corn,2070,1
Europe_Eastern,regional corn,domestic corn,domestic corn,2070,1
Europe_Non_EU,regional corn,domestic corn,domestic corn,2070,1
