# Exogenous cost to reflect shipping + handling of traded commodities
region,supplysector,subsector,technology,year,minicam.non.energy.input,input.cost
USA,traded corn,Middle East traded corn,Middle East traded corn,2010,trade costs,0
USA,traded corn,Pakistan traded corn,Pakistan traded corn,2010,trade costs,0
USA,traded corn,Russia traded corn,Russia traded corn,2010,trade costs,0
USA,traded corn,South Africa traded corn,South Africa traded corn,2010,trade costs,0
USA,traded corn,South America_Northern traded corn,South America_Northern traded corn,2010,trade costs,0
USA,traded corn,South America_Southern traded corn,South America_Southern traded corn,2010,trade costs,0
USA,traded corn,South Asia traded corn,South Asia traded corn,2010,trade costs,0
USA,traded corn,South Korea traded corn,South Korea traded corn,2010,trade costs,0
USA,traded corn,Southeast Asia traded corn,Southeast Asia traded corn,2010,trade costs,0
USA,traded corn,Taiwan traded corn,Taiwan traded corn,2010,trade costs,0
USA,traded corn,Argentina traded corn,Argentina traded corn,2010,trade costs,0
USA,traded corn,Colombia traded corn,Colombia traded corn,2010,trade costs,0
USA,traded corn,USA traded corn,USA traded corn,2015,trade costs,0
USA,traded corn,Africa_Eastern traded corn,Africa_Eastern traded corn,2015,trade costs,0
USA,traded corn,Africa_Northern traded corn,Africa_Northern traded corn,2015,trade costs,0
USA,traded corn,Africa_Southern traded corn,Africa_Southern traded corn,2015,trade costs,0
USA,traded corn,Africa_Western traded corn,Africa_Western traded corn,2015,trade costs,0
USA,traded corn,Australia_NZ traded corn,Australia_NZ traded corn,2015,trade costs,0
USA,traded corn,Brazil traded corn,Brazil traded corn,2015,trade costs,0
USA,traded corn,Canada traded corn,Canada traded corn,2015,trade costs,0
USA,traded corn,Central America and Caribbean traded corn,Central America and Caribbean traded corn,2015,trade costs,0
USA,traded corn,Central Asia traded corn,Central Asia traded corn,2015,trade costs,0
USA,traded corn,China traded corn,China traded corn,2015,trade costs,0
USA,traded corn,EU-12 traded corn,EU-12 traded corn,2015,trade costs,0
USA,traded corn,EU-15 traded corn,EU-15 traded corn,2015,trade costs,0
USA,traded corn,Europe_Eastern traded corn,Europe_Eastern traded corn,2015,trade costs,0
USA,traded corn,Europe_Non_EU traded corn,Europe_Non_EU traded corn,2015,trade costs,0
USA,traded corn,European Free Trade Association traded corn,European Free Trade Association traded corn,2015,trade costs,0
USA,traded corn,India traded corn,India traded corn,2015,trade costs,0
USA,traded corn,Indonesia traded corn,Indonesia traded corn,2015,trade costs,0
USA,traded corn,Japan traded corn,Japan traded corn,2015,trade costs,0
USA,traded corn,Mexico traded corn,Mexico traded corn,2015,trade costs,0
USA,traded corn,Middle East traded corn,Middle East traded corn,2015,trade costs,0
USA,traded corn,Pakistan traded corn,Pakistan traded corn,2015,trade costs,0
USA,traded corn,Russia traded corn,Russia traded corn,2015,trade costs,0
USA,traded corn,South Africa traded corn,South Africa traded corn,2015,trade costs,0
USA,traded corn,South America_Northern traded corn,South America_Northern traded corn,2015,trade costs,0
USA,traded corn,South America_Southern traded corn,South America_Southern traded corn,2015,trade costs,0
USA,traded corn,South Asia traded corn,South Asia traded corn,2015,trade costs,0
USA,traded corn,South Korea traded corn,South Korea traded corn,2015,trade costs,0
USA,traded corn,Southeast Asia traded corn,Southeast Asia traded corn,2015,trade costs,0
USA,traded corn,Taiwan traded corn,Taiwan traded corn,2015,trade costs,0
USA,traded corn,Argentina traded corn,Argentina traded corn,2015,trade costs,0
USA,traded corn,Colombia traded corn,Colombia traded corn,2015,trade costs,0
USA,traded corn,USA traded corn,USA traded corn,2020,trade costs,0
USA,traded corn,Africa_Eastern traded corn,Africa_Eastern traded corn,2020,trade costs,0
USA,traded corn,Africa_Northern traded corn,Africa_Northern traded corn,2020,trade costs,0
USA,traded corn,Africa_Southern traded corn,Africa_Southern traded corn,2020,trade costs,0
USA,traded corn,Africa_Western traded corn,Africa_Western traded corn,2020,trade costs,0
USA,traded corn,Australia_NZ traded corn,Australia_NZ traded corn,2020,trade costs,0
USA,traded corn,Brazil traded corn,Brazil traded corn,2020,trade costs,0
USA,traded corn,Canada traded corn,Canada traded corn,2020,trade costs,0
USA,traded corn,Central America and Caribbean traded corn,Central America and Caribbean traded corn,2020,trade costs,0
USA,traded corn,Central Asia traded corn,Central Asia traded corn,2020,trade costs,0
USA,traded corn,China traded corn,China traded corn,2020,trade costs,0
USA,traded corn,EU-12 traded corn,EU-12 traded corn,2020,trade costs,0
USA,traded corn,EU-15 traded corn,EU-15 traded corn,2020,trade costs,0
USA,traded corn,Europe_Eastern traded corn,Europe_Eastern traded corn,2020,trade costs,0
USA,traded corn,Europe_Non_EU traded corn,Europe_Non_EU traded corn,2020,trade costs,0
USA,traded corn,European Free Trade Association traded corn,European Free Trade Association traded corn,2020,trade costs,0
USA,traded corn,India traded corn,India traded corn,2020,trade costs,0
USA,traded corn,Indonesia traded corn,Indonesia traded corn,2020,trade costs,0
USA,traded corn,Japan traded corn,Japan traded corn,2020,trade costs,0
USA,traded corn,Mexico traded corn,Mexico traded corn,2020,trade costs,0
USA,traded corn,Middle East traded corn,Middle East traded corn,2020,trade costs,0
USA,traded corn,Pakistan traded corn,Pakistan traded corn,2020,trade costs,0
USA,traded corn,Russia traded corn,Russia traded corn,2020,trade costs,0
USA,traded corn,South Africa traded corn,South Africa traded corn,2020,trade costs,0
USA,traded corn,South America_Northern traded corn,South America_Northern traded corn,2020,trade costs,0
USA,traded corn,South America_Southern traded corn,South America_Southern traded corn,2020,trade costs,0
USA,traded corn,South Asia traded corn,South Asia traded corn,2020,trade costs,0
USA,traded corn,South Korea traded corn,South Korea traded corn,2020,trade costs,0
USA,traded corn,Southeast Asia traded corn,Southeast Asia traded corn,2020,trade costs,0
USA,traded corn,Taiwan traded corn,Taiwan traded corn,2020,trade costs,0
USA,traded corn,Argentina traded corn,Argentina traded corn,2020,trade costs,0
USA,traded corn,Colombia traded corn,Colombia traded corn,2020,trade costs,0
USA,traded corn,USA traded corn,USA traded corn,2025,trade costs,0
USA,traded corn,Africa_Eastern traded corn,Africa_Eastern traded corn,2025,trade costs,0
USA,traded corn,Africa_Northern traded corn,Africa_Northern traded corn,2025,trade costs,0
USA,traded corn,Africa_Southern traded corn,Africa_Southern traded corn,2025,trade costs,0
USA,traded corn,Africa_Western traded corn,Africa_Western traded corn,2025,trade costs,0
USA,traded corn,Australia_NZ traded corn,Australia_NZ traded corn,2025,trade costs,0
USA,traded corn,Brazil traded corn,Brazil traded corn,2025,trade costs,0
USA,traded corn,Canada traded corn,Canada traded corn,2025,trade costs,0
USA,traded corn,Central America and Caribbean traded corn,Central America and Caribbean traded corn,2025,trade costs,0
USA,traded corn,Central Asia traded corn,Central Asia traded corn,2025,trade costs,0
USA,traded corn,China traded corn,China traded corn,2025,trade costs,0
USA,traded corn,EU-12 traded corn,EU-12 traded corn,2025,trade costs,0
USA,traded corn,EU-15 traded corn,EU-15 traded corn,2025,trade costs,0
USA,traded corn,Europe_Eastern traded corn,Europe_Eastern traded corn,2025,trade costs,0
USA,traded corn,Europe_Non_EU traded corn,Europe_Non_EU traded corn,2025,trade costs,0
USA,traded corn,European Free Trade Association traded corn,European Free Trade Association traded corn,2025,trade costs,0
USA,traded corn,India traded corn,India traded corn,2025,trade costs,0
USA,traded corn,Indonesia traded corn,Indonesia traded corn,2025,trade costs,0
USA,traded corn,Japan traded corn,Japan traded corn,2025,trade costs,0
USA,traded corn,Mexico traded corn,Mexico traded corn,2025,trade costs,0
USA,traded corn,Middle East traded corn,Middle East traded corn,2025,trade costs,0
USA,traded corn,Pakistan traded corn,Pakistan traded corn,2025,trade costs,0
USA,traded corn,Russia traded corn,Russia traded corn,2025,trade costs,0
USA,traded corn,South Africa traded corn,South Africa traded corn,2025,trade costs,0
USA,traded corn,South America_Northern traded corn,South America_Northern traded corn,2025,trade costs,0
USA,traded corn,South America_Southern traded corn,South America_Southern traded corn,2025,trade costs,0
USA,traded corn,South Asia traded corn,South Asia traded corn,2025,trade costs,0
USA,traded corn,South Korea traded corn,South Korea traded corn,2025,trade costs,0
USA,traded corn,Southeast Asia traded corn,Southeast Asia traded corn,2025,trade costs,0
USA,traded corn,Taiwan traded corn,Taiwan traded corn,2025,trade costs,0
USA,traded corn,Argentina traded corn,Argentina traded corn,2025,trade costs,0
USA,traded corn,Colombia traded corn,Colombia traded corn,2025,trade costs,0
USA,traded corn,USA traded corn,USA traded corn,2030,trade costs,0
USA,traded corn,Africa_Eastern traded corn,Africa_Eastern traded corn,2030,trade costs,0
USA,traded corn,Africa_Northern traded corn,Africa_Northern traded corn,2030,trade costs,0
USA,traded corn,Africa_Southern traded corn,Africa_Southern traded corn,2030,trade costs,0
USA,traded corn,Africa_Western traded corn,Africa_Western traded corn,2030,trade costs,0
USA,traded corn,Australia_NZ traded corn,Australia_NZ traded corn,2030,trade costs,0
USA,traded corn,Brazil traded corn,Brazil traded corn,2030,trade costs,0
USA,traded corn,Canada traded corn,Canada traded corn,2030,trade costs,0
USA,traded corn,Central America and Caribbean traded corn,Central America and Caribbean traded corn,2030,trade costs,0
USA,traded corn,Central Asia traded corn,Central Asia traded corn,2030,trade costs,0
USA,traded corn,China traded corn,China traded corn,2030,trade costs,0
USA,traded corn,EU-12 traded corn,EU-12 traded corn,2030,trade costs,0
USA,traded corn,EU-15 traded corn,EU-15 traded corn,2030,trade costs,0
USA,traded corn,Europe_Eastern traded corn,Europe_Eastern traded corn,2030,trade costs,0
USA,traded corn,Europe_Non_EU traded corn,Europe_Non_EU traded corn,2030,trade costs,0
USA,traded corn,European Free Trade Association traded corn,European Free Trade Association traded corn,2030,trade costs,0
USA,traded corn,India traded corn,India traded corn,2030,trade costs,0
USA,traded corn,Indonesia traded corn,Indonesia traded corn,2030,trade costs,0
USA,traded corn,Japan traded corn,Japan traded corn,2030,trade costs,0
USA,traded corn,Mexico traded corn,Mexico traded corn,2030,trade costs,0
USA,traded corn,Middle East traded corn,Middle East traded corn,2030,trade costs,0
USA,traded corn,Pakistan traded corn,Pakistan traded corn,2030,trade costs,0
USA,traded corn,Russia traded corn,Russia traded corn,2030,trade costs,0
USA,traded corn,South Africa traded corn,South Africa traded corn,2030,trade costs,0
USA,traded corn,South America_Northern traded corn,South America_Northern traded corn,2030,trade costs,0
USA,traded corn,South America_Southern traded corn,South America_Southern traded corn,2030,trade costs,0
USA,traded corn,South Asia traded corn,South Asia traded corn,2030,trade costs,0
USA,traded corn,South Korea traded corn,South Korea traded corn,2030,trade costs,0
USA,traded corn,Southeast Asia traded corn,Southeast Asia traded corn,2030,trade costs,0
USA,traded corn,Taiwan traded corn,Taiwan traded corn,2030,trade costs,0
USA,traded corn,Argentina traded corn,Argentina traded corn,2030,trade costs,0
USA,traded corn,Colombia traded corn,Colombia traded corn,2030,trade costs,0
USA,traded corn,USA traded corn,USA traded corn,2035,trade costs,0
USA,traded corn,Africa_Eastern traded corn,Africa_Eastern traded corn,2035,trade costs,0
USA,traded corn,Africa_Northern traded corn,Africa_Northern traded corn,2035,trade costs,0
USA,traded corn,Africa_Southern traded corn,Africa_Southern traded corn,2035,trade costs,0
USA,traded corn,Africa_Western traded corn,Africa_Western traded corn,2035,trade costs,0
USA,traded corn,Australia_NZ traded corn,Australia_NZ traded corn,2035,trade costs,0
USA,traded corn,Brazil traded corn,Brazil traded corn,2035,trade costs,0
USA,traded corn,Canada traded corn,Canada traded corn,2035,trade costs,0
USA,traded corn,Central America and Caribbean traded corn,Central America and Caribbean traded corn,2035,trade costs,0
USA,traded corn,Central Asia traded corn,Central Asia traded corn,2035,trade costs,0
USA,traded corn,China traded corn,China traded corn,2035,trade costs,0
USA,traded corn,EU-12 traded corn,EU-12 traded corn,2035,trade costs,0
USA,traded corn,EU-15 traded corn,EU-15 traded corn,2035,trade costs,0
USA,traded corn,Europe_Eastern traded corn,Europe_Eastern traded corn,2035,trade costs,0
USA,traded corn,Europe_Non_EU traded corn,Europe_Non_EU traded corn,2035,trade costs,0
USA,traded corn,European Free Trade Association traded corn,European Free Trade Association traded corn,2035,trade costs,0
USA,traded corn,India traded corn,India traded corn,2035,trade costs,0
USA,traded corn,Indonesia traded corn,Indonesia traded corn,2035,trade costs,0
USA,traded corn,Japan traded corn,Japan traded corn,2035,trade costs,0
USA,traded corn,Mexico traded corn,Mexico traded corn,2035,trade costs,0
USA,traded corn,Middle East traded corn,Middle East traded corn,2035,trade costs,0
USA,traded corn,Pakistan traded corn,Pakistan traded corn,2035,trade costs,0
USA,traded corn,Russia traded corn,Russia traded corn,2035,trade costs,0
USA,traded corn,South Africa traded corn,South Africa traded corn,2035,trade costs,0
USA,traded corn,South America_Northern traded corn,South America_Northern traded corn,2035,trade costs,0
USA,traded corn,South America_Southern traded corn,South America_Southern traded corn,2035,trade costs,0
USA,traded corn,South Asia traded corn,South Asia traded corn,2035,trade costs,0
USA,traded corn,South Korea traded corn,South Korea traded corn,2035,trade costs,0
USA,traded corn,Southeast Asia traded corn,Southeast Asia traded corn,2035,trade costs,0
USA,traded corn,Taiwan traded corn,Taiwan traded corn,2035,trade costs,0
USA,traded corn,Argentina traded corn,Argentina traded corn,2035,trade costs,0
USA,traded corn,Colombia traded corn,Colombia traded corn,2035,trade costs,0
USA,traded corn,USA traded corn,USA traded corn,2040,trade costs,0
USA,traded corn,Africa_Eastern traded corn,Africa_Eastern traded corn,2040,trade costs,0
USA,traded corn,Africa_Northern traded corn,Africa_Northern traded corn,2040,trade costs,0
USA,traded corn,Africa_Southern traded corn,Africa_Southern traded corn,2040,trade costs,0
USA,traded corn,Africa_Western traded corn,Africa_Western traded corn,2040,trade costs,0
USA,traded corn,Australia_NZ traded corn,Australia_NZ traded corn,2040,trade costs,0
USA,traded corn,Brazil traded corn,Brazil traded corn,2040,trade costs,0
USA,traded corn,Canada traded corn,Canada traded corn,2040,trade costs,0
USA,traded corn,Central America and Caribbean traded corn,Central America and Caribbean traded corn,2040,trade costs,0
USA,traded corn,Central Asia traded corn,Central Asia traded corn,2040,trade costs,0
USA,traded corn,China traded corn,China traded corn,2040,trade costs,0
USA,traded corn,EU-12 traded corn,EU-12 traded corn,2040,trade costs,0
USA,traded corn,EU-15 traded corn,EU-15 traded corn,2040,trade costs,0
USA,traded corn,Europe_Eastern traded corn,Europe_Eastern traded corn,2040,trade costs,0
USA,traded corn,Europe_Non_EU traded corn,Europe_Non_EU traded corn,2040,trade costs,0
USA,traded corn,European Free Trade Association traded corn,European Free Trade Association traded corn,2040,trade costs,0
USA,traded corn,India traded corn,India traded corn,2040,trade costs,0
USA,traded corn,Indonesia traded corn,Indonesia traded corn,2040,trade costs,0
USA,traded corn,Japan traded corn,Japan traded corn,2040,trade costs,0
USA,traded corn,Mexico traded corn,Mexico traded corn,2040,trade costs,0
USA,traded corn,Middle East traded corn,Middle East traded corn,2040,trade costs,0
USA,traded corn,Pakistan traded corn,Pakistan traded corn,2040,trade costs,0
USA,traded corn,Russia traded corn,Russia traded corn,2040,trade costs,0
USA,traded corn,South Africa traded corn,South Africa traded corn,2040,trade costs,0
USA,traded corn,South America_Northern traded corn,South America_Northern traded corn,2040,trade costs,0
USA,traded corn,South America_Southern traded corn,South America_Southern traded corn,2040,trade costs,0
USA,traded corn,South Asia traded corn,South Asia traded corn,2040,trade costs,0
USA,traded corn,South Korea traded corn,South Korea traded corn,2040,trade costs,0
USA,traded corn,Southeast Asia traded corn,Southeast Asia traded corn,2040,trade costs,0
USA,traded corn,Taiwan traded corn,Taiwan traded corn,2040,trade costs,0
USA,traded corn,Argentina traded corn,Argentina traded corn,2040,trade costs,0
USA,traded corn,Colombia traded corn,Colombia traded corn,2040,trade costs,0
USA,traded corn,USA traded corn,USA traded corn,2045,trade costs,0
USA,traded corn,Africa_Eastern traded corn,Africa_Eastern traded corn,2045,trade costs,0
USA,traded corn,Africa_Northern traded corn,Africa_Northern traded corn,2045,trade costs,0
USA,traded corn,Africa_Southern traded corn,Africa_Southern traded corn,2045,trade costs,0
USA,traded corn,Africa_Western traded corn,Africa_Western traded corn,2045,trade costs,0
USA,traded corn,Australia_NZ traded corn,Australia_NZ traded corn,2045,trade costs,0
USA,traded corn,Brazil traded corn,Brazil traded corn,2045,trade costs,0
USA,traded corn,Canada traded corn,Canada traded corn,2045,trade costs,0
USA,traded corn,Central America and Caribbean traded corn,Central America and Caribbean traded corn,2045,trade costs,0
USA,traded corn,Central Asia traded corn,Central Asia traded corn,2045,trade costs,0
USA,traded corn,China traded corn,China traded corn,2045,trade costs,0
USA,traded corn,EU-12 traded corn,EU-12 traded corn,2045,trade costs,0
USA,traded corn,EU-15 traded corn,EU-15 traded corn,2045,trade costs,0
USA,traded corn,Europe_Eastern traded corn,Europe_Eastern traded corn,2045,trade costs,0
USA,traded corn,Europe_Non_EU traded corn,Europe_Non_EU traded corn,2045,trade costs,0
USA,traded corn,European Free Trade Association traded corn,European Free Trade Association traded corn,2045,trade costs,0
USA,traded corn,India traded corn,India traded corn,2045,trade costs,0
USA,traded corn,Indonesia traded corn,Indonesia traded corn,2045,trade costs,0
USA,traded corn,Japan traded corn,Japan traded corn,2045,trade costs,0
USA,traded corn,Mexico traded corn,Mexico traded corn,2045,trade costs,0
USA,traded corn,Middle East traded corn,Middle East traded corn,2045,trade costs,0
USA,traded corn,Pakistan traded corn,Pakistan traded corn,2045,trade costs,0
USA,traded corn,Russia traded corn,Russia traded corn,2045,trade costs,0
USA,traded corn,South Africa traded corn,South Africa traded corn,2045,trade costs,0
USA,traded corn,South America_Northern traded corn,South America_Northern traded corn,2045,trade costs,0
USA,traded corn,South America_Southern traded corn,South America_Southern traded corn,2045,trade costs,0
USA,traded corn,South Asia traded corn,South Asia traded corn,2045,trade costs,0
USA,traded corn,South Korea traded corn,South Korea traded corn,2045,trade costs,0
USA,traded corn,Southeast Asia traded corn,Southeast Asia traded corn,2045,trade costs,0
USA,traded corn,Taiwan traded corn,Taiwan traded corn,2045,trade costs,0
USA,traded corn,Argentina traded corn,Argentina traded corn,2045,trade costs,0
USA,traded corn,Colombia traded corn,Colombia traded corn,2045,trade costs,0
USA,traded corn,USA traded corn,USA traded corn,2050,trade costs,0
USA,traded corn,Africa_Eastern traded corn,Africa_Eastern traded corn,2050,trade costs,0
USA,traded corn,Africa_Northern traded corn,Africa_Northern traded corn,2050,trade costs,0
USA,traded corn,Africa_Southern traded corn,Africa_Southern traded corn,2050,trade costs,0
USA,traded corn,Africa_Western traded corn,Africa_Western traded corn,2050,trade costs,0
USA,traded corn,Australia_NZ traded corn,Australia_NZ traded corn,2050,trade costs,0
USA,traded corn,Brazil traded corn,Brazil traded corn,2050,trade costs,0
USA,traded corn,Canada traded corn,Canada traded corn,2050,trade costs,0
USA,traded corn,Central America and Caribbean traded corn,Central America and Caribbean traded corn,2050,trade costs,0
USA,traded corn,Central Asia traded corn,Central Asia traded corn,2050,trade costs,0
USA,traded corn,China traded corn,China traded corn,2050,trade costs,0
