# We remove any regions for which agriculture and land use are not modeled.
region,supplysector,subsector,logit.year.fillout,logit.exponent,year.fillout,share.weight,apply.to,from.year,to.year,interpolation.function,logit.type
EU-12,regional misccrop,domestic misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
EU-15,regional misccrop,domestic misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Europe_Eastern,regional misccrop,domestic misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Europe_Non_EU,regional misccrop,domestic misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
European Free Trade Association,regional misccrop,domestic misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
India,regional misccrop,domestic misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Indonesia,regional misccrop,domestic misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Japan,regional misccrop,domestic misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Mexico,regional misccrop,domestic misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Middle East,regional misccrop,domestic misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Pakistan,regional misccrop,domestic misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Russia,regional misccrop,domestic misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
South Africa,regional misccrop,domestic misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
South America_Northern,regional misccrop,domestic misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
South America_Southern,regional misccrop,domestic misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
South Asia,regional misccrop,domestic misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
South Korea,regional misccrop,domestic misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Southeast Asia,regional misccrop,domestic misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Taiwan,regional misccrop,domestic misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Argentina,regional misccrop,domestic misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Colombia,regional misccrop,domestic misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,regional misccrop,imported misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Africa_Eastern,regional misccrop,imported misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Africa_Northern,regional misccrop,imported misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Africa_Southern,regional misccrop,imported misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Africa_Western,regional misccrop,imported misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Australia_NZ,regional misccrop,imported misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Brazil,regional misccrop,imported misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Canada,regional misccrop,imported misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Central America and Caribbean,regional misccrop,imported misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Central Asia,regional misccrop,imported misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
China,regional misccrop,imported misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
EU-12,regional misccrop,imported misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
EU-15,regional misccrop,imported misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Europe_Eastern,regional misccrop,imported misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Europe_Non_EU,regional misccrop,imported misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
European Free Trade Association,regional misccrop,imported misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
India,regional misccrop,imported misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Indonesia,regional misccrop,imported misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Japan,regional misccrop,imported misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Mexico,regional misccrop,imported misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Middle East,regional misccrop,imported misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Pakistan,regional misccrop,imported misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Russia,regional misccrop,imported misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
South Africa,regional misccrop,imported misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
South America_Northern,regional misccrop,imported misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
South America_Southern,regional misccrop,imported misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
South Asia,regional misccrop,imported misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
South Korea,regional misccrop,imported misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Southeast Asia,regional misccrop,imported misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Taiwan,regional misccrop,imported misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Argentina,regional misccrop,imported misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Colombia,regional misccrop,imported misccrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,regional oilcrop,domestic oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Africa_Eastern,regional oilcrop,domestic oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Africa_Northern,regional oilcrop,domestic oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Africa_Southern,regional oilcrop,domestic oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Africa_Western,regional oilcrop,domestic oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Australia_NZ,regional oilcrop,domestic oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Brazil,regional oilcrop,domestic oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Canada,regional oilcrop,domestic oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Central America and Caribbean,regional oilcrop,domestic oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Central Asia,regional oilcrop,domestic oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
China,regional oilcrop,domestic oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
EU-12,regional oilcrop,domestic oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
EU-15,regional oilcrop,domestic oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Europe_Eastern,regional oilcrop,domestic oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Europe_Non_EU,regional oilcrop,domestic oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
European Free Trade Association,regional oilcrop,domestic oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
India,regional oilcrop,domestic oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Indonesia,regional oilcrop,domestic oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Japan,regional oilcrop,domestic oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Mexico,regional oilcrop,domestic oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Middle East,regional oilcrop,domestic oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Pakistan,regional oilcrop,domestic oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Russia,regional oilcrop,domestic oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
South Africa,regional oilcrop,domestic oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
South America_Northern,regional oilcrop,domestic oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
South America_Southern,regional oilcrop,domestic oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
South Asia,regional oilcrop,domestic oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
South Korea,regional oilcrop,domestic oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Southeast Asia,regional oilcrop,domestic oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Taiwan,regional oilcrop,domestic oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Argentina,regional oilcrop,domestic oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Colombia,regional oilcrop,domestic oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,regional oilcrop,imported oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Africa_Eastern,regional oilcrop,imported oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Africa_Northern,regional oilcrop,imported oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Africa_Southern,regional oilcrop,imported oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Africa_Western,regional oilcrop,imported oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Australia_NZ,regional oilcrop,imported oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Brazil,regional oilcrop,imported oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Canada,regional oilcrop,imported oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Central America and Caribbean,regional oilcrop,imported oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Central Asia,regional oilcrop,imported oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
China,regional oilcrop,imported oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
EU-12,regional oilcrop,imported oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
EU-15,regional oilcrop,imported oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Europe_Eastern,regional oilcrop,imported oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Europe_Non_EU,regional oilcrop,imported oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
European Free Trade Association,regional oilcrop,imported oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
India,regional oilcrop,imported oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Indonesia,regional oilcrop,imported oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Japan,regional oilcrop,imported oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Mexico,regional oilcrop,imported oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Middle East,regional oilcrop,imported oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Pakistan,regional oilcrop,imported oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Russia,regional oilcrop,imported oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
South Africa,regional oilcrop,imported oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
South America_Northern,regional oilcrop,imported oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
South America_Southern,regional oilcrop,imported oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
South Asia,regional oilcrop,imported oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
South Korea,regional oilcrop,imported oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Southeast Asia,regional oilcrop,imported oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Taiwan,regional oilcrop,imported oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Argentina,regional oilcrop,imported oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Colombia,regional oilcrop,imported oilcrop,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
USA,regional othergrain,domestic othergrain,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Africa_Eastern,regional othergrain,domestic othergrain,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Africa_Northern,regional othergrain,domestic othergrain,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Africa_Southern,regional othergrain,domestic othergrain,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Africa_Western,regional othergrain,domestic othergrain,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Australia_NZ,regional othergrain,domestic othergrain,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Brazil,regional othergrain,domestic othergrain,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Canada,regional othergrain,domestic othergrain,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Central America and Caribbean,regional othergrain,domestic othergrain,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Central Asia,regional othergrain,domestic othergrain,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
China,regional othergrain,domestic othergrain,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
EU-12,regional othergrain,domestic othergrain,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
EU-15,regional othergrain,domestic othergrain,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Europe_Eastern,regional othergrain,domestic othergrain,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Europe_Non_EU,regional othergrain,domestic othergrain,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
European Free Trade Association,regional othergrain,domestic othergrain,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
India,regional othergrain,domestic othergrain,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Indonesia,regional othergrain,domestic othergrain,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Japan,regional othergrain,domestic othergrain,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Mexico,regional othergrain,domestic othergrain,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Middle East,regional othergrain,domestic othergrain,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
Pakistan,regional othergrain,domestic othergrain,1975,-6,1975,1,share-weight,2015,2100,fixed,NA
